city_name,city_slug,city_url,category_url,http_status,html_bytes,poi_link_count,unique_poi_link_count,strict_match_count,broad_match_count,elapsed_seconds,error
东莞市,dongguan,http://poi.mapbar.com/dongguan/,http://poi.mapbar.com/dongguan/D30/,,,0,0,0,0,1.128,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/dongguan/D30/')
东营市,dongying,http://poi.mapbar.com/dongying/,http://poi.mapbar.com/dongying/D30/,,,0,0,0,0,1.119,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/dongying/D30/')
鄂尔多斯市,eerduosi,http://poi.mapbar.com/eerduosi/,http://poi.mapbar.com/eerduosi/D30/,,,0,0,0,0,1.118,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/eerduosi/D30/')
恩施土家族苗族自治州,enshi,http://poi.mapbar.com/enshi/,http://poi.mapbar.com/enshi/D30/,,,0,0,0,0,1.123,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/enshi/D30/')
鄂州市,ezhou,http://poi.mapbar.com/ezhou/,http://poi.mapbar.com/ezhou/D30/,,,0,0,0,0,1.115,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/ezhou/D30/')
防城港市,fangchenggang,http://poi.mapbar.com/fangchenggang/,http://poi.mapbar.com/fangchenggang/D30/,,,0,0,0,0,1.123,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/fangchenggang/D30/')
佛山市,foshan,http://poi.mapbar.com/foshan/,http://poi.mapbar.com/foshan/D30/,,,0,0,0,0,1.113,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/foshan/D30/')
抚顺市,fushun,http://poi.mapbar.com/fushun/,http://poi.mapbar.com/fushun/D30/,,,0,0,0,0,1.112,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/fushun/D30/')
阜新市,fuxin,http://poi.mapbar.com/fuxin/,http://poi.mapbar.com/fuxin/D30/,,,0,0,0,0,1.126,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/fuxin/D30/')
阜阳市,fuyang,http://poi.mapbar.com/fuyang/,http://poi.mapbar.com/fuyang/D30/,,,0,0,0,0,1.127,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/fuyang/D30/')
福州市,fuzhou1,http://poi.mapbar.com/fuzhou1/,http://poi.mapbar.com/fuzhou1/D30/,,,0,0,0,0,1.125,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/fuzhou1/D30/')
抚州市,fuzhou2,http://poi.mapbar.com/fuzhou2/,http://poi.mapbar.com/fuzhou2/D30/,,,0,0,0,0,1.119,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/fuzhou2/D30/')
甘南藏族自治州,gannan,http://poi.mapbar.com/gannan/,http://poi.mapbar.com/gannan/D30/,,,0,0,0,0,1.124,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/gannan/D30/')
赣州市,ganzhou,http://poi.mapbar.com/ganzhou/,http://poi.mapbar.com/ganzhou/D30/,,,0,0,0,0,1.131,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/ganzhou/D30/')
甘孜藏族自治州,ganzi,http://poi.mapbar.com/ganzi/,http://poi.mapbar.com/ganzi/D30/,,,0,0,0,0,1.125,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/ganzi/D30/')
广安市,guangan,http://poi.mapbar.com/guangan/,http://poi.mapbar.com/guangan/D30/,,,0,0,0,0,1.125,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/guangan/D30/')
广元市,guangyuan,http://poi.mapbar.com/guangyuan/,http://poi.mapbar.com/guangyuan/D30/,,,0,0,0,0,1.107,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/guangyuan/D30/')
广州市,guangzhou,http://poi.mapbar.com/guangzhou/,http://poi.mapbar.com/guangzhou/D30/,,,0,0,0,0,1.131,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/guangzhou/D30/')
贵港市,guigang,http://poi.mapbar.com/guigang/,http://poi.mapbar.com/guigang/D30/,,,0,0,0,0,1.123,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/guigang/D30/')
桂林市,guilin,http://poi.mapbar.com/guilin/,http://poi.mapbar.com/guilin/D30/,,,0,0,0,0,1.118,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/guilin/D30/')
贵阳市,guiyang,http://poi.mapbar.com/guiyang/,http://poi.mapbar.com/guiyang/D30/,,,0,0,0,0,1.131,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/guiyang/D30/')
