adcode,name,label,spell,longitude,latitude,level,province_code,province,official_market,occurrences,path,paths
230400,鹤岗,鹤岗市,HeGangShi,130.297687,47.350659,prefecture,23,,False,1,$.data.cityData.provinces.230000.cities[3],$.data.cityData.provinces.230000.cities[3]
230500,双鸭山,双鸭山市,ShuangYaShanShi,131.141563,46.676157,prefecture,23,,False,1,$.data.cityData.provinces.230000.cities[4],$.data.cityData.provinces.230000.cities[4]
230600,大庆,大庆市,DaQingShi,125.104078,46.589498,prefecture,23,,False,1,$.data.cityData.provinces.230000.cities[5],$.data.cityData.provinces.230000.cities[5]
230700,伊春,伊春市,YiChunShi,128.840863,47.728332,prefecture,23,,False,1,$.data.cityData.provinces.230000.cities[6],$.data.cityData.provinces.230000.cities[6]
230800,佳木斯,佳木斯市,JiaMuSiShi,130.318916,46.800002,prefecture,23,,False,1,$.data.cityData.provinces.230000.cities[7],$.data.cityData.provinces.230000.cities[7]
230900,七台河,七台河市,QiTaiHeShi,131.003015,45.771178,prefecture,23,,False,1,$.data.cityData.provinces.230000.cities[8],$.data.cityData.provinces.230000.cities[8]
231000,牡丹江,牡丹江市,MuDanJiangShi,129.632928,44.551486,prefecture,23,,False,1,$.data.cityData.provinces.230000.cities[9],$.data.cityData.provinces.230000.cities[9]
231100,黑河,黑河市,HeiHeShi,127.528226,50.244887,prefecture,23,,False,1,$.data.cityData.provinces.230000.cities[10],$.data.cityData.provinces.230000.cities[10]
231200,绥化,绥化市,SuiHuaShi,126.968714,46.654147,prefecture,23,,False,1,$.data.cityData.provinces.230000.cities[11],$.data.cityData.provinces.230000.cities[11]
232700,大兴安岭,大兴安岭地区,DaXingAnLingDiQu,124.11786,50.41129,prefecture,23,,False,1,$.data.cityData.provinces.230000.cities[12],$.data.cityData.provinces.230000.cities[12]
310000,上海,上海市,ShangHaiShi,121.473667,31.230525,province,31,上海,True,2,$.data.cityData.hotCitys[5],$.data.cityData.hotCitys[5] | $.data.cityData.provinces.310000
320000,江苏,江苏省,JiangSuSheng,118.763563,32.061377,province,32,江苏,True,1,$.data.cityData.provinces.320000,$.data.cityData.provinces.320000
320100,南京,南京市,NanJingShi,118.796624,32.059344,prefecture,32,江苏,True,2,$.data.cityData.hotCitys[6],$.data.cityData.hotCitys[6] | $.data.cityData.provinces.320000.cities[0]
320200,无锡,无锡市,WuXiShi,120.311889,31.491064,prefecture,32,江苏,True,1,$.data.cityData.provinces.320000.cities[1],$.data.cityData.provinces.320000.cities[1]
320300,徐州,徐州市,XuZhouShi,117.283752,34.204224,prefecture,32,江苏,True,1,$.data.cityData.provinces.320000.cities[2],$.data.cityData.provinces.320000.cities[2]
320400,常州,常州市,ChangZhouShi,119.974092,31.811313,prefecture,32,江苏,True,1,$.data.cityData.provinces.320000.cities[3],$.data.cityData.provinces.320000.cities[3]
320500,苏州,苏州市,SuZhouShi,120.585294,31.299758,prefecture,32,江苏,True,2,$.data.cityData.hotCitys[7],$.data.cityData.hotCitys[7] | $.data.cityData.provinces.320000.cities[4]
320600,南通,南通市,NanTongShi,120.894522,31.981269,prefecture,32,江苏,True,1,$.data.cityData.provinces.320000.cities[5],$.data.cityData.provinces.320000.cities[5]
320700,连云港,连云港市,LianYunGangShi,119.221487,34.596639,prefecture,32,江苏,True,1,$.data.cityData.provinces.320000.cities[6],$.data.cityData.provinces.320000.cities[6]
320800,淮安,淮安市,HuaiAnShi,119.113166,33.551495,prefecture,32,江苏,True,1,$.data.cityData.provinces.320000.cities[7],$.data.cityData.provinces.320000.cities[7]
320900,盐城,盐城市,YanChengShi,120.16263,33.348176,prefecture,32,江苏,True,1,$.data.cityData.provinces.320000.cities[8],$.data.cityData.provinces.320000.cities[8]
321000,扬州,扬州市,YangZhouShi,119.412834,32.394404,prefecture,32,江苏,True,1,$.data.cityData.provinces.320000.cities[9],$.data.cityData.provinces.320000.cities[9]
321100,镇江,镇江市,ZhenJiangShi,119.424441,32.188141,prefecture,32,江苏,True,1,$.data.cityData.provinces.320000.cities[10],$.data.cityData.provinces.320000.cities[10]
321200,泰州,泰州市,TaiZhouShi,119.922883,32.456692,prefecture,32,江苏,True,1,$.data.cityData.provinces.320000.cities[11],$.data.cityData.provinces.320000.cities[11]
321300,宿迁,宿迁市,SuQianShi,118.275228,33.963186,prefecture,32,江苏,True,1,$.data.cityData.provinces.320000.cities[12],$.data.cityData.provinces.320000.cities[12]
330000,浙江,浙江省,ZheJiangSheng,120.152575,30.266619,province,33,浙江,True,1,$.data.cityData.provinces.330000,$.data.cityData.provinces.330000
330100,杭州,杭州市,HangZhouShi,120.210792,30.246026,prefecture,33,浙江,True,2,$.data.cityData.hotCitys[8],$.data.cityData.hotCitys[8] | $.data.cityData.provinces.330000.cities[0]
