adcode,name,label,spell,longitude,latitude,level,province_code,province,official_market,occurrences,path,paths
361100,上饶,上饶市,ShangRaoShi,117.943064,28.45513,prefecture,36,江西,True,1,$.data.cityData.provinces.360000.cities[10],$.data.cityData.provinces.360000.cities[10]
370000,山东,山东省,ShanDong Sheng,117.020725,36.670201,province,37,山东,True,1,$.data.cityData.provinces.370000,$.data.cityData.provinces.370000
370100,济南,济南市,JiNanShi,117.120128,36.652069,prefecture,37,山东,True,1,$.data.cityData.provinces.370000.cities[0],$.data.cityData.provinces.370000.cities[0]
370200,青岛,青岛市,QingDaoShi,120.382665,36.066938,prefecture,37,山东,True,2,$.data.cityData.hotCitys[9],$.data.cityData.hotCitys[9] | $.data.cityData.provinces.370000.cities[1]
370300,淄博,淄博市,ZiBoShi,118.054994,36.813787,prefecture,37,山东,True,1,$.data.cityData.provinces.370000.cities[2],$.data.cityData.provinces.370000.cities[2]
370400,枣庄,枣庄市,ZaoZhuangShi,117.323759,34.810858,prefecture,37,山东,True,1,$.data.cityData.provinces.370000.cities[3],$.data.cityData.provinces.370000.cities[3]
370500,东营,东营市,DongYingShi,118.674633,37.433992,prefecture,37,山东,True,1,$.data.cityData.provinces.370000.cities[4],$.data.cityData.provinces.370000.cities[4]
370600,烟台,烟台市,YanTaiShi,121.447755,37.464551,prefecture,37,山东,True,1,$.data.cityData.provinces.370000.cities[5],$.data.cityData.provinces.370000.cities[5]
370700,潍坊,潍坊市,WeiFangShi,119.161721,36.707668,prefecture,37,山东,True,1,$.data.cityData.provinces.370000.cities[6],$.data.cityData.provinces.370000.cities[6]
370800,济宁,济宁市,JiNingShi,116.587116,35.415117,prefecture,37,山东,True,1,$.data.cityData.provinces.370000.cities[7],$.data.cityData.provinces.370000.cities[7]
370900,泰安,泰安市,TaiAnShi,117.086963,36.201784,prefecture,37,山东,True,1,$.data.cityData.provinces.370000.cities[8],$.data.cityData.provinces.370000.cities[8]
371000,威海,威海市,WeiHaiShi,122.120519,37.513315,prefecture,37,山东,True,1,$.data.cityData.provinces.370000.cities[9],$.data.cityData.provinces.370000.cities[9]
371100,日照,日照市,RiZhaoShi,119.52685,35.416912,prefecture,37,山东,True,1,$.data.cityData.provinces.370000.cities[10],$.data.cityData.provinces.370000.cities[10]
371300,临沂,临沂市,LinYiShi,118.356464,35.103771,prefecture,37,山东,True,1,$.data.cityData.provinces.370000.cities[11],$.data.cityData.provinces.370000.cities[11]
371400,德州,德州市,DeZhouShi,116.359244,37.436492,prefecture,37,山东,True,1,$.data.cityData.provinces.370000.cities[12],$.data.cityData.provinces.370000.cities[12]
371500,聊城,聊城市,LiaoChengShi,115.985238,36.455857,prefecture,37,山东,True,1,$.data.cityData.provinces.370000.cities[13],$.data.cityData.provinces.370000.cities[13]
371600,滨州,滨州市,BinZhouShi,117.970731,37.382687,prefecture,37,山东,True,1,$.data.cityData.provinces.370000.cities[14],$.data.cityData.provinces.370000.cities[14]
371700,菏泽,菏泽市,HeZeShi,115.479646,35.234309,prefecture,37,山东,True,1,$.data.cityData.provinces.370000.cities[15],$.data.cityData.provinces.370000.cities[15]
410000,河南,河南省,HeNanSheng,113.753094,34.767052,province,41,河南,True,1,$.data.cityData.provinces.410000,$.data.cityData.provinces.410000
410100,郑州,郑州市,ZhengZhouShi,113.625351,34.746303,prefecture,41,河南,True,2,$.data.cityData.hotCitys[10],$.data.cityData.hotCitys[10] | $.data.cityData.provinces.410000.cities[0]
410200,开封,开封市,KaiFengShi,114.314278,34.798083,prefecture,41,河南,True,1,$.data.cityData.provinces.410000.cities[1],$.data.cityData.provinces.410000.cities[1]
410300,洛阳,洛阳市,LuoYangShi,112.453895,34.619702,prefecture,41,河南,True,1,$.data.cityData.provinces.410000.cities[2],$.data.cityData.provinces.410000.cities[2]
410400,平顶山,平顶山市,PingDingShanShi,113.192595,33.766554,prefecture,41,河南,True,1,$.data.cityData.provinces.410000.cities[3],$.data.cityData.provinces.410000.cities[3]
410500,安阳,安阳市,AnYangShi,114.39248,36.098779,prefecture,41,河南,True,1,$.data.cityData.provinces.410000.cities[4],$.data.cityData.provinces.410000.cities[4]
410600,鹤壁,鹤壁市,HeBiShi,114.297305,35.748329,prefecture,41,河南,True,1,$.data.cityData.provinces.410000.cities[5],$.data.cityData.provinces.410000.cities[5]
410700,新乡,新乡市,XinXiangShi,113.92679,35.303589,prefecture,41,河南,True,1,$.data.cityData.provinces.410000.cities[6],$.data.cityData.provinces.410000.cities[6]
410800,焦作,焦作市,JiaoZuoShi,113.241902,35.215726,prefecture,41,河南,True,1,$.data.cityData.provinces.410000.cities[7],$.data.cityData.provinces.410000.cities[7]
410900,濮阳,濮阳市,PuYangShi,115.029246,35.762731,prefecture,41,河南,True,1,$.data.cityData.provinces.410000.cities[8],$.data.cityData.provinces.410000.cities[8]
411000,许昌,许昌市,XuChangShi,113.852004,34.03732,prefecture,41,河南,True,1,$.data.cityData.provinces.410000.cities[9],$.data.cityData.provinces.410000.cities[9]
411100,漯河,漯河市,LuoHeShi,114.0166,33.58038,prefecture,41,河南,True,1,$.data.cityData.provinces.410000.cities[10],$.data.cityData.provinces.410000.cities[10]
